target,source,label,central_user_party,friend_party
413,429,RenataAlt_MdB,FDP,FDP
383,429,RenataAlt_MdB,FDP,FDP
212,429,RenataAlt_MdB,FDP,FDP
88,429,RenataAlt_MdB,FDP,FDP
189,429,RenataAlt_MdB,FDP,FDP
169,429,RenataAlt_MdB,FDP,FDP
10,429,RenataAlt_MdB,FDP,Greens
72,429,RenataAlt_MdB,FDP,FDP
494,429,RenataAlt_MdB,FDP,FDP
335,429,RenataAlt_MdB,FDP,FDP
104,429,RenataAlt_MdB,FDP,FDP
318,429,RenataAlt_MdB,FDP,FDP
12,429,RenataAlt_MdB,FDP,FDP
356,429,RenataAlt_MdB,FDP,FDP
192,429,RenataAlt_MdB,FDP,FDP
17,429,RenataAlt_MdB,FDP,FDP
60,429,RenataAlt_MdB,FDP,FDP
213,429,RenataAlt_MdB,FDP,FDP
177,429,RenataAlt_MdB,FDP,Greens
346,429,RenataAlt_MdB,FDP,FDP
81,429,RenataAlt_MdB,FDP,FDP
1,429,RenataAlt_MdB,FDP,FDP
368,429,RenataAlt_MdB,FDP,FDP
369,429,RenataAlt_MdB,FDP,FDP
386,429,RenataAlt_MdB,FDP,SPD
400,429,RenataAlt_MdB,FDP,Greens
399,429,RenataAlt_MdB,FDP,FDP
316,429,RenataAlt_MdB,FDP,FDP
505,429,RenataAlt_MdB,FDP,FDP
311,429,RenataAlt_MdB,FDP,Greens
496,429,RenataAlt_MdB,FDP,FDP
142,429,RenataAlt_MdB,FDP,FDP
515,429,RenataAlt_MdB,FDP,FDP
446,429,RenataAlt_MdB,FDP,FDP
226,429,RenataAlt_MdB,FDP,FDP
155,429,RenataAlt_MdB,FDP,FDP
68,429,RenataAlt_MdB,FDP,FDP
283,429,RenataAlt_MdB,FDP,FDP
245,429,RenataAlt_MdB,FDP,FDP
69,429,RenataAlt_MdB,FDP,FDP
116,429,RenataAlt_MdB,FDP,FDP
353,429,RenataAlt_MdB,FDP,FDP
398,429,RenataAlt_MdB,FDP,FDP
296,429,RenataAlt_MdB,FDP,FDP
205,429,RenataAlt_MdB,FDP,FDP
372,429,RenataAlt_MdB,FDP,FDP
380,429,RenataAlt_MdB,FDP,FDP
394,429,RenataAlt_MdB,FDP,FDP
288,429,RenataAlt_MdB,FDP,FDP
407,429,RenataAlt_MdB,FDP,CDU
240,429,RenataAlt_MdB,FDP,SPD
433,429,RenataAlt_MdB,FDP,FDP
148,429,RenataAlt_MdB,FDP,FDP
97,429,RenataAlt_MdB,FDP,FDP
253,429,RenataAlt_MdB,FDP,FDP
503,429,RenataAlt_MdB,FDP,SPD
149,429,RenataAlt_MdB,FDP,FDP
163,429,RenataAlt_MdB,FDP,FDP
282,429,RenataAlt_MdB,FDP,FDP
268,429,RenataAlt_MdB,FDP,FDP
202,429,RenataAlt_MdB,FDP,SPD
236,429,RenataAlt_MdB,FDP,SPD
428,429,RenataAlt_MdB,FDP,FDP
271,429,RenataAlt_MdB,FDP,FDP
530,429,RenataAlt_MdB,FDP,FDP
467,429,RenataAlt_MdB,FDP,FDP
56,429,RenataAlt_MdB,FDP,FDP
225,429,RenataAlt_MdB,FDP,FDP
147,429,RenataAlt_MdB,FDP,FDP
141,429,RenataAlt_MdB,FDP,FDP
67,429,RenataAlt_MdB,FDP,FDP
523,429,RenataAlt_MdB,FDP,FDP
553,429,RenataAlt_MdB,FDP,FDP
9,429,RenataAlt_MdB,FDP,FDP
527,429,RenataAlt_MdB,FDP,FDP
363,429,RenataAlt_MdB,FDP,SPD
197,429,RenataAlt_MdB,FDP,FDP
65,429,RenataAlt_MdB,FDP,FDP
310,429,RenataAlt_MdB,FDP,FDP
481,429,RenataAlt_MdB,FDP,FDP
62,429,RenataAlt_MdB,FDP,FDP
237,429,RenataAlt_MdB,FDP,FDP
431,552,WolfgangWiehle,AfD,AfD
68,552,WolfgangWiehle,AfD,FDP
464,552,WolfgangWiehle,AfD,SPD
233,552,WolfgangWiehle,AfD,AfD
175,552,WolfgangWiehle,AfD,AfD
546,552,WolfgangWiehle,AfD,AfD
451,552,WolfgangWiehle,AfD,AfD
343,552,WolfgangWiehle,AfD,AfD
534,552,WolfgangWiehle,AfD,AfD
398,552,WolfgangWiehle,AfD,FDP
488,552,WolfgangWiehle,AfD,The Left
272,552,WolfgangWiehle,AfD,AfD
87,552,WolfgangWiehle,AfD,AfD
420,552,WolfgangWiehle,AfD,AfD
302,552,WolfgangWiehle,AfD,AfD
418,552,WolfgangWiehle,AfD,AfD
330,552,WolfgangWiehle,AfD,AfD
127,552,WolfgangWiehle,AfD,AfD
303,552,WolfgangWiehle,AfD,AfD
276,552,WolfgangWiehle,AfD,AfD
75,552,WolfgangWiehle,AfD,CDU
329,552,WolfgangWiehle,AfD,AfD
235,552,WolfgangWiehle,AfD,AfD
128,552,WolfgangWiehle,AfD,AfD
432,552,WolfgangWiehle,AfD,AfD
471,552,WolfgangWiehle,AfD,AfD
221,552,WolfgangWiehle,AfD,AfD
91,552,WolfgangWiehle,AfD,AfD
8,552,WolfgangWiehle,AfD,AfD
503,552,WolfgangWiehle,AfD,SPD
7,552,WolfgangWiehle,AfD,AfD
422,552,WolfgangWiehle,AfD,AfD
313,552,WolfgangWiehle,AfD,AfD
135,552,WolfgangWiehle,AfD,AfD
381,552,WolfgangWiehle,AfD,AfD
511,552,WolfgangWiehle,AfD,AfD
202,552,WolfgangWiehle,AfD,SPD
6,552,WolfgangWiehle,AfD,AfD
45,552,WolfgangWiehle,AfD,AfD
507,552,WolfgangWiehle,AfD,AfD
159,552,WolfgangWiehle,AfD,AfD
124,552,WolfgangWiehle,AfD,AfD
64,552,WolfgangWiehle,AfD,AfD
134,552,WolfgangWiehle,AfD,AfD
184,552,WolfgangWiehle,AfD,Greens
317,552,WolfgangWiehle,AfD,AfD
495,552,WolfgangWiehle,AfD,AfD
424,552,WolfgangWiehle,AfD,AfD
178,552,WolfgangWiehle,AfD,AfD
367,552,WolfgangWiehle,AfD,AfD
107,552,WolfgangWiehle,AfD,The Left
167,552,WolfgangWiehle,AfD,AfD
298,552,WolfgangWiehle,AfD,The Left
389,552,WolfgangWiehle,AfD,AfD
409,552,WolfgangWiehle,AfD,CDU
228,552,WolfgangWiehle,AfD,CDU
48,552,WolfgangWiehle,AfD,AfD
191,552,WolfgangWiehle,AfD,AfD
528,552,WolfgangWiehle,AfD,AfD
442,552,WolfgangWiehle,AfD,AfD
106,552,WolfgangWiehle,AfD,Greens
18,552,WolfgangWiehle,AfD,AfD
120,552,WolfgangWiehle,AfD,AfD
25,552,WolfgangWiehle,AfD,AfD
77,552,WolfgangWiehle,AfD,CDU
405,552,WolfgangWiehle,AfD,AfD
112,552,WolfgangWiehle,AfD,AfD
147,552,WolfgangWiehle,AfD,FDP
185,552,WolfgangWiehle,AfD,AfD
531,552,WolfgangWiehle,AfD,AfD
550,552,WolfgangWiehle,AfD,AfD
220,552,WolfgangWiehle,AfD,AfD
247,552,WolfgangWiehle,AfD,AfD
292,552,WolfgangWiehle,AfD,AfD
94,552,WolfgangWiehle,AfD,CSU
499,552,WolfgangWiehle,AfD,AfD
232,552,WolfgangWiehle,AfD,AfD
412,552,WolfgangWiehle,AfD,AfD
518,552,WolfgangWiehle,AfD,AfD
463,552,WolfgangWiehle,AfD,SPD
411,552,WolfgangWiehle,AfD,AfD
474,552,WolfgangWiehle,AfD,AfD
468,552,WolfgangWiehle,AfD,AfD
39,552,WolfgangWiehle,AfD,AfD
312,552,WolfgangWiehle,AfD,AfD
158,552,WolfgangWiehle,AfD,AfD
104,368,mseesternpauly,FDP,FDP
401,368,mseesternpauly,FDP,FDP
177,368,mseesternpauly,FDP,Greens
69,368,mseesternpauly,FDP,FDP
316,368,mseesternpauly,FDP,FDP
527,368,mseesternpauly,FDP,FDP
68,368,mseesternpauly,FDP,FDP
3,368,mseesternpauly,FDP,Greens
184,368,mseesternpauly,FDP,Greens
341,368,mseesternpauly,FDP,FDP
372,368,mseesternpauly,FDP,FDP
282,368,mseesternpauly,FDP,FDP
62,368,mseesternpauly,FDP,FDP
237,368,mseesternpauly,FDP,FDP
212,368,mseesternpauly,FDP,FDP
88,368,mseesternpauly,FDP,FDP
78,368,mseesternpauly,FDP,Greens
429,368,mseesternpauly,FDP,FDP
353,368,mseesternpauly,FDP,FDP
169,368,mseesternpauly,FDP,FDP
72,368,mseesternpauly,FDP,FDP
553,368,mseesternpauly,FDP,FDP
83,368,mseesternpauly,FDP,FDP
9,368,mseesternpauly,FDP,FDP
310,368,mseesternpauly,FDP,FDP
380,368,mseesternpauly,FDP,FDP
67,368,mseesternpauly,FDP,FDP
225,368,mseesternpauly,FDP,FDP
383,368,mseesternpauly,FDP,FDP
481,368,mseesternpauly,FDP,FDP
56,368,mseesternpauly,FDP,FDP
318,368,mseesternpauly,FDP,FDP
446,368,mseesternpauly,FDP,FDP
356,368,mseesternpauly,FDP,FDP
226,368,mseesternpauly,FDP,FDP
213,368,mseesternpauly,FDP,FDP
433,368,mseesternpauly,FDP,FDP
413,368,mseesternpauly,FDP,FDP
163,368,mseesternpauly,FDP,FDP
494,368,mseesternpauly,FDP,FDP
189,368,mseesternpauly,FDP,FDP
467,368,mseesternpauly,FDP,FDP
81,368,mseesternpauly,FDP,FDP
253,368,mseesternpauly,FDP,FDP
428,368,mseesternpauly,FDP,FDP
17,368,mseesternpauly,FDP,FDP
147,368,mseesternpauly,FDP,FDP
505,368,mseesternpauly,FDP,FDP
205,368,mseesternpauly,FDP,FDP
155,368,mseesternpauly,FDP,FDP
515,368,mseesternpauly,FDP,FDP
245,368,mseesternpauly,FDP,FDP
288,368,mseesternpauly,FDP,FDP
346,368,mseesternpauly,FDP,FDP
197,368,mseesternpauly,FDP,FDP
283,368,mseesternpauly,FDP,FDP
142,368,mseesternpauly,FDP,FDP
268,368,mseesternpauly,FDP,FDP
12,368,mseesternpauly,FDP,FDP
523,368,mseesternpauly,FDP,FDP
530,368,mseesternpauly,FDP,FDP
63,368,mseesternpauly,FDP,FDP
496,368,mseesternpauly,FDP,FDP
202,368,mseesternpauly,FDP,SPD
60,368,mseesternpauly,FDP,FDP
296,368,mseesternpauly,FDP,FDP
394,368,mseesternpauly,FDP,FDP
398,368,mseesternpauly,FDP,FDP
148,368,mseesternpauly,FDP,FDP
