source,target,weight,type
1,79,1,directed
1,97,1,directed
1,296,1,directed
1,456,3,directed
1,544,1,directed
1,546,18,directed
1,549,3,directed
1,551,3,directed
1,555,1,directed
2,42,2,directed
2,56,1,directed
2,74,1,directed
2,83,1,directed
2,147,1,directed
2,196,1,directed
2,206,2,directed
2,221,2,directed
2,267,2,directed
2,269,1,directed
2,310,5,directed
2,316,2,directed
2,385,1,directed
2,388,2,directed
2,403,2,directed
2,411,1,directed
2,454,1,directed
2,520,1,directed
2,548,2,directed
2,553,22,directed
3,4,1,directed
3,21,1,directed
3,79,2,directed
3,97,1,directed
3,103,3,directed
3,107,1,directed
3,249,1,directed
3,251,4,directed
3,263,9,directed
3,276,7,directed
3,372,2,directed
3,429,2,directed
3,434,1,directed
3,439,1,directed
3,456,2,directed
3,476,1,directed
3,481,1,directed
3,485,1,directed
3,521,1,directed
3,545,2,directed
3,551,4,directed
3,554,23,directed
3,555,5,directed
3,557,1,directed
4,19,1,directed
4,25,1,directed
4,46,5,directed
4,79,3,directed
4,82,1,directed
4,97,1,directed
4,147,1,directed
4,197,2,directed
4,221,1,directed
4,232,1,directed
4,264,1,directed
4,273,1,directed
4,274,1,directed
4,276,2,directed
4,287,1,directed
4,309,1,directed
4,310,2,directed
4,353,1,directed
4,367,4,directed
4,372,2,directed
4,385,1,directed
4,388,3,directed
4,417,1,directed
4,438,3,directed
4,454,2,directed
4,480,5,directed
4,483,3,directed
4,504,1,directed
4,545,1,directed
4,546,1,directed
4,548,17,directed
4,549,1,directed
4,553,89,directed
4,554,1,directed
5,7,1,directed
5,25,1,directed
5,54,1,directed
5,170,1,directed
5,276,6,directed
5,278,1,directed
5,287,23,directed
5,405,1,directed
5,430,1,directed
5,456,2,directed
5,549,1,directed
5,552,1,directed
5,553,1,directed
5,554,22,directed
7,7,1,directed
7,54,2,directed
7,62,1,directed
7,222,2,directed
7,227,1,directed
7,251,1,directed
7,256,1,directed
7,284,2,directed
7,287,2,directed
7,347,1,directed
7,353,2,directed
7,409,1,directed
7,414,2,directed
7,456,1,directed
7,503,1,directed
7,544,1,directed
7,545,3,directed
7,546,2,directed
7,547,1,directed
7,554,3,directed
7,555,3,directed
7,557,4,directed
9,55,1,directed
9,79,1,directed
9,97,3,directed
9,103,4,directed
9,130,1,directed
9,140,1,directed
9,145,1,directed
9,149,1,directed
9,153,1,directed
9,158,3,directed
9,178,1,directed
9,197,1,directed
9,201,1,directed
9,222,1,directed
9,227,5,directed
9,232,4,directed
9,249,1,directed
9,258,1,directed
9,263,1,directed
9,273,2,directed
9,287,60,directed
9,295,4,directed
9,296,1,directed
9,331,4,directed
9,339,1,directed
9,344,1,directed
9,353,1,directed
9,355,5,directed
9,361,1,directed
9,369,2,directed
9,376,1,directed
9,390,1,directed
9,395,10,directed
9,396,1,directed
9,403,2,directed
9,421,3,directed
9,425,1,directed
9,456,1,directed
9,493,1,directed
9,497,3,directed
9,510,1,directed
9,521,1,directed
9,543,3,directed
9,545,23,directed
9,546,3,directed
9,549,2,directed
9,551,36,directed
9,557,25,directed
10,23,1,directed
10,164,2,directed
10,174,2,directed
10,180,1,directed
10,197,4,directed
10,199,1,directed
10,206,1,directed
10,233,1,directed
10,237,1,directed
10,251,1,directed
10,256,1,directed
10,258,1,directed
10,263,6,directed
10,276,1,directed
10,284,2,directed
10,343,1,directed
10,394,1,directed
10,418,1,directed
10,456,1,directed
10,463,1,directed
10,476,2,directed
10,499,4,directed
10,503,2,directed
10,527,2,directed
10,554,25,directed
12,127,1,directed
12,143,1,directed
12,197,1,directed
12,204,1,directed
12,323,2,directed
12,396,1,directed
12,425,1,directed
12,431,1,directed
12,434,1,directed
12,438,1,directed
12,469,1,directed
12,551,6,directed
13,7,12,directed
13,14,3,directed
13,47,1,directed
13,61,1,directed
13,78,2,directed
13,84,1,directed
13,112,1,directed
13,127,1,directed
13,182,3,directed
13,184,2,directed
13,233,17,directed
13,248,1,directed
13,256,1,directed
13,271,1,directed
13,334,1,directed
13,336,1,directed
13,353,1,directed
13,376,2,directed
13,412,3,directed
13,502,2,directed
13,514,1,directed
13,544,1,directed
13,546,1,directed
13,547,1,directed
13,549,1,directed
13,551,3,directed
13,552,7,directed
13,554,1,directed
13,555,2,directed
14,7,1,directed
14,9,1,directed
14,21,2,directed
14,47,1,directed
14,79,1,directed
14,84,4,directed
14,97,2,directed
14,144,1,directed
14,221,1,directed
14,253,1,directed
14,256,2,directed
14,263,1,directed
14,271,1,directed
14,273,1,directed
14,322,3,directed
14,344,1,directed
14,353,2,directed
14,361,1,directed
14,372,3,directed
14,397,1,directed
14,405,1,directed
14,456,3,directed
14,481,1,directed
14,510,1,directed
14,517,1,directed
14,531,1,directed
14,545,1,directed
14,546,3,directed
14,549,7,directed
14,552,2,directed
14,555,1,directed
14,557,1,directed
16,7,2,directed
16,18,1,directed
16,29,1,directed
16,36,1,directed
16,47,1,directed
16,48,8,directed
16,54,2,directed
16,88,1,directed
16,97,2,directed
16,107,1,directed
16,112,1,directed
16,117,1,directed
16,134,4,directed
16,135,1,directed
16,139,1,directed
16,140,1,directed
16,141,1,directed
16,143,12,directed
16,145,1,directed
16,150,1,directed
16,153,8,directed
16,160,1,directed
16,180,2,directed
16,181,1,directed
16,194,5,directed
16,195,2,directed
16,199,2,directed
16,208,1,directed
16,213,2,directed
16,219,8,directed
16,227,9,directed
16,230,3,directed
16,251,1,directed
16,256,3,directed
16,258,1,directed
16,263,3,directed
16,270,1,directed
16,272,7,directed
16,276,1,directed
16,281,3,directed
16,282,5,directed
16,313,3,directed
16,326,1,directed
16,327,12,directed
16,344,4,directed
16,353,2,directed
16,372,1,directed
16,383,1,directed
16,396,3,directed
16,406,1,directed
16,419,2,directed
16,429,1,directed
16,456,14,directed
16,461,8,directed
16,463,1,directed
16,466,2,directed
16,472,1,directed
16,476,3,directed
16,484,1,directed
16,491,1,directed
16,503,2,directed
16,523,2,directed
16,530,1,directed
16,531,1,directed
16,543,1,directed
16,546,3,directed
16,547,28,directed
16,551,1,directed
16,554,5,directed
16,555,7,directed
18,7,64,directed
18,14,3,directed
18,18,1,directed
18,37,5,directed
18,48,1,directed
18,53,1,directed
18,54,2,directed
18,79,1,directed
18,103,1,directed
18,110,1,directed
18,112,1,directed
18,127,1,directed
18,130,3,directed
18,143,1,directed
18,153,1,directed
18,158,2,directed
18,176,1,directed
18,208,1,directed
18,211,2,directed
18,213,1,directed
18,218,2,directed
18,221,1,directed
18,248,8,directed
18,256,1,directed
18,261,1,directed
18,272,3,directed
18,276,2,directed
18,281,1,directed
18,287,3,directed
18,297,1,directed
18,308,2,directed
18,334,2,directed
18,336,1,directed
18,353,9,directed
18,392,1,directed
18,396,5,directed
18,402,1,directed
18,404,1,directed
18,432,1,directed
18,456,3,directed
18,469,2,directed
18,497,1,directed
18,502,2,directed
18,515,3,directed
18,531,1,directed
18,541,3,directed
18,544,1,directed
18,545,7,directed
18,546,78,directed
18,547,10,directed
18,548,7,directed
18,549,35,directed
18,551,19,directed
18,552,1,directed
18,554,9,directed
18,555,74,directed
18,557,5,directed
19,21,5,directed
19,46,1,directed
19,60,1,directed
19,79,1,directed
19,83,1,directed
19,89,6,directed
19,95,1,directed
19,105,1,directed
19,126,1,directed
19,137,5,directed
19,140,1,directed
19,147,1,directed
19,149,2,directed
19,185,1,directed
19,221,2,directed
19,241,2,directed
19,264,3,directed
19,273,1,directed
19,274,3,directed
19,279,1,directed
19,301,1,directed
19,309,1,directed
19,316,3,directed
19,317,1,directed
19,378,3,directed
19,385,1,directed
19,388,1,directed
19,454,1,directed
19,520,1,directed
19,548,8,directed
19,552,1,directed
19,553,28,directed
19,554,2,directed
19,555,2,directed
20,7,1,directed
20,14,3,directed
20,16,1,directed
20,21,1,directed
20,22,1,directed
20,54,1,directed
20,78,1,directed
20,97,1,directed
20,108,1,directed
20,130,2,directed
20,144,1,directed
20,152,2,directed
20,158,2,directed
20,176,2,directed
20,195,1,directed
20,220,2,directed
20,227,4,directed
20,234,1,directed
20,248,3,directed
20,252,2,directed
20,258,2,directed
20,263,3,directed
20,270,1,directed
20,276,4,directed
20,277,1,directed
20,281,2,directed
20,295,1,directed
20,308,1,directed
20,323,1,directed
20,347,1,directed
20,363,1,directed
20,369,1,directed
20,395,2,directed
20,404,1,directed
20,425,1,directed
20,456,1,directed
20,469,1,directed
20,476,1,directed
20,484,1,directed
20,485,1,directed
20,515,2,directed
20,518,1,directed
20,528,1,directed
20,541,1,directed
20,544,2,directed
20,545,16,directed
20,546,7,directed
20,547,1,directed
20,549,4,directed
20,551,37,directed
20,552,6,directed
20,554,3,directed
20,555,15,directed
20,557,4,directed
21,7,2,directed
21,8,1,directed
21,16,1,directed
21,46,1,directed
21,83,2,directed
21,97,2,directed
21,105,2,directed
21,127,1,directed
21,134,1,directed
21,135,2,directed
21,140,4,directed
21,158,1,directed
21,176,1,directed
21,184,1,directed
21,191,1,directed
21,195,1,directed
21,221,4,directed
21,241,1,directed
21,251,1,directed
21,256,1,directed
21,257,1,directed
21,263,2,directed
21,265,1,directed
21,267,1,directed
21,273,1,directed
21,276,5,directed
21,287,1,directed
21,296,5,directed
21,309,9,directed
21,347,1,directed
21,353,1,directed
21,360,1,directed
21,363,1,directed
21,385,2,directed
21,388,2,directed
21,451,1,directed
21,454,1,directed
21,456,8,directed
21,481,2,directed
21,488,2,directed
21,497,2,directed
21,511,3,directed
21,515,1,directed
21,526,1,directed
21,541,4,directed
21,545,4,directed
21,546,17,directed
21,547,8,directed
21,548,51,directed
21,549,4,directed
21,552,1,directed
21,553,49,directed
21,554,10,directed
21,555,2,directed
21,557,6,directed
22,22,3,directed
22,53,1,directed
22,79,2,directed
22,81,1,directed
22,97,7,directed
22,127,1,directed
22,131,7,directed
22,134,4,directed
22,152,1,directed
22,158,1,directed
22,178,2,directed
22,203,1,directed
22,208,3,directed
22,214,2,directed
22,225,2,directed
22,227,2,directed
22,232,2,directed
22,234,1,directed
22,251,1,directed
22,263,3,directed
22,274,1,directed
22,282,1,directed
22,284,1,directed
22,286,1,directed
22,287,1,directed
22,295,2,directed
22,297,4,directed
22,323,1,directed
22,331,1,directed
22,355,3,directed
22,392,1,directed
22,393,1,directed
22,395,1,directed
22,456,7,directed
22,469,1,directed
22,476,2,directed
22,506,2,directed
22,533,2,directed
22,543,1,directed
22,545,12,directed
22,546,3,directed
22,549,3,directed
22,551,31,directed
22,557,1,directed
23,76,1,directed
23,174,1,directed
23,197,1,directed
23,228,1,directed
23,263,1,directed
23,276,1,directed
23,406,1,directed
23,407,2,directed
23,456,1,directed
23,463,5,directed
