target_screen_name,target_party,target,source,source_party,label,weight
_MartinNeumann,FDP,1,103,CSU,Andreas Lenz,1
_MartinNeumann,FDP,1,104,FDP,Daniel Föst,1
_MartinNeumann,FDP,1,149,FDP,FDP Bundestag,6
_MartinNeumann,FDP,1,169,FDP,Gerald Ullrich,3
_MartinNeumann,FDP,1,213,FDP,Reinhard Houben,1
_MartinNeumann,FDP,1,318,FDP,Marcus Faber,1
_MartinNeumann,FDP,1,335,FDP,Marie-Agnes Strack-Zimmermann,1
_MartinNeumann,FDP,1,353,FDP,Christoph Meyer,1
_MartinNeumann,FDP,1,380,FDP,Nicole Bauer,2
_MartinNeumann,FDP,1,394,FDP,Olaf in der Beek,2
_MartinNeumann,FDP,1,399,FDP,Otto Fricke,2
_MartinNeumann,FDP,1,428,FDP,Hagen Reinhold,8
_MartinNeumann,FDP,1,446,FDP,Sandra Weeser,5
_MartinNeumann,FDP,1,527,FDP,Andrew Ullmann,1
_MartinNeumann,FDP,1,553,FDP,Wieland Schinnenburg,1
_MartinNeumann,FDP,1,60,FDP,Britta Dassler,1
_MartinNeumann,FDP,1,72,FDP,Carina Konrad,1
A_Gloeckner,SPD,2,125,SPD,Joe Weingarten,1
A_Gloeckner,SPD,2,333,SPD,Martin Rosemann,5
A_Gloeckner,SPD,2,463,SPD,SPD Bundestag,6
A_Gloeckner,SPD,2,464,SPD,SPD,3
A_Gloeckner,SPD,2,502,SPD,Thomas Hitschler,1
A_Gloeckner,SPD,2,52,SPD,Bettina Müller,1
ABaerbock,Greens,3,10,Greens,Agnieszka Brugger,17
ABaerbock,Greens,3,100,Greens,Daniela Wagner,2
ABaerbock,Greens,3,106,Greens,Die Gruenen,73
ABaerbock,Greens,3,115,Greens,Dieter Janecek,24
ABaerbock,Greens,3,123,CDU,Andreas Nick,1
ABaerbock,Greens,3,136,Greens,Erhard Grundl,8
ABaerbock,Greens,3,146,Greens,Franziska Brantner,7
ABaerbock,Greens,3,177,Greens,Katrin Göring-Eckardt,4
ABaerbock,Greens,3,182,Greens,Claudia Müller,5
ABaerbock,Greens,3,183,Greens,Beate Müller-Gemmeke,2
ABaerbock,Greens,3,184,Greens,Die Gruenen Bundestag,1
ABaerbock,Greens,3,206,Greens,Marcel Emmerich,1
ABaerbock,Greens,3,217,Greens,Ingrid Nestle,11
ABaerbock,Greens,3,242,CDU,Johann Wadephul,1
ABaerbock,Greens,3,249,Greens,Julia Verlinden,1
ABaerbock,Greens,3,252,Greens,Kordula Schulz-Asche,5
ABaerbock,Greens,3,256,Greens,Kai Gehring[210],9
ABaerbock,Greens,3,263,Greens,Katharina Dröge,6
ABaerbock,Greens,3,264,Greens,Katja Dörner,2
ABaerbock,Greens,3,265,Greens,Katja Keul,2
ABaerbock,Greens,3,278,Greens,Kirsten Kappert-Gonther,2
ABaerbock,Greens,3,284,Greens,Konstantin von Notz,16
ABaerbock,Greens,3,299,Greens,Lisa Paus,6
ABaerbock,Greens,3,311,Greens,Manuel Sarrazin,1
ABaerbock,Greens,3,323,Greens,Maria Klein-Schmeink,6
ABaerbock,Greens,3,326,Greens,Markus Kurth,1
ABaerbock,Greens,3,328,Greens,Markus Tressel,1
ABaerbock,Greens,3,33,Greens,Anna Christmann,1
ABaerbock,Greens,3,333,SPD,Martin Rosemann,1
ABaerbock,Greens,3,337,Greens,Matthias Gastel,1
ABaerbock,Greens,3,36,CDU,Annette Widmann-Mauz,1
ABaerbock,Greens,3,365,Greens,Monika Lazar,1
ABaerbock,Greens,3,397,Greens,Oliver Krischer,4
ABaerbock,Greens,3,430,Greens,Renate Künast,3
ABaerbock,Greens,3,469,Greens,Stefan Gelbhaar,1
ABaerbock,Greens,3,480,Greens,Stephan Kühn,1
ABaerbock,Greens,3,486,Greens,Sven-Christian Kindler,4
ABaerbock,Greens,3,487,Greens,Sven Lehmann,9
ABaerbock,Greens,3,52,SPD,Bettina Müller,1
ABaerbock,Greens,3,545,Greens,Wolfgang Strengmann-Kuhn,15
ABaerbock,Greens,3,59,Greens,Britta Haßelmann,5
ABaerbock,Greens,3,78,Greens,Cem Özdemir,3
ABaerbock,Greens,3,82,Greens,Christian Kühn,15
