source,target,weight
1,70,2
1,149,1
1,153,1
1,197,1
1,233,1
1,281,2
1,393,1
1,417,1
1,456,7
1,472,2
1,481,1
1,530,1
1,541,1
1,555,2
2,4,4
2,19,2
2,34,11
2,39,1
2,46,11
2,74,1
2,83,5
2,105,1
2,126,5
2,147,1
2,221,5
2,241,1
2,264,7
2,269,3
2,273,2
2,296,2
2,301,2
2,310,22
2,317,12
2,363,5
2,385,20
2,388,6
2,477,1
2,504,2
2,526,1
2,548,11
2,553,46
3,62,6
3,251,1
3,276,10
3,372,1
3,463,1
3,500,1
3,503,2
3,554,1
3,556,33
4,2,1
4,19,2
4,21,1
4,34,4
4,46,8
4,58,2
4,79,1
4,126,1
4,185,1
4,196,1
4,221,2
4,264,2
4,269,1
4,309,1
4,310,2
4,317,9
4,360,1
4,363,4
4,385,10
4,388,8
4,438,1
4,454,1
4,548,7
4,553,33
5,62,2
5,82,4
5,223,1
5,251,3
5,258,1
5,276,12
5,278,1
5,383,1
5,463,1
5,485,1
5,499,1
5,554,4
5,556,15
7,7,7
7,18,3
7,132,1
7,158,1
7,195,3
7,218,1
7,281,2
7,419,1
7,471,1
7,501,1
7,515,3
7,530,1
7,541,1
7,546,11
7,555,5
9,9,2
9,97,1
9,103,1
9,131,1
9,145,1
9,227,2
9,251,1
9,273,1
9,287,11
9,393,1
9,395,2
9,425,1
9,460,1
9,510,1
9,543,1
9,545,2
9,551,6
9,557,9
10,28,1
10,42,1
10,62,2
10,87,1
10,127,1
10,177,1
10,199,1
10,276,8
10,284,1
10,319,1
10,399,1
10,443,1
10,476,2
10,481,1
10,499,2
10,503,1
10,504,2
10,527,1
10,556,35
12,308,1
12,317,1
12,506,2
12,551,6
12,557,1
13,248,2
13,412,1
13,502,2
13,552,11
14,25,2
14,47,14
14,55,1
14,78,5
14,84,5
14,86,7
14,127,4
14,137,2
14,152,12
14,194,1
14,216,1
14,220,1
14,225,6
14,248,3
14,252,1
14,256,3
14,267,1
14,307,4
14,343,2
14,344,7
14,353,3
14,361,1
14,372,1
14,397,3
14,405,6
14,411,3
14,436,3
14,497,3
14,513,1
14,549,51
14,552,33
15,393,1
16,62,1
16,84,1
16,113,1
16,143,7
16,153,4
16,227,1
16,256,1
16,272,4
16,273,1
16,281,3
16,282,5
16,327,2
16,353,2
16,395,1
16,406,1
16,429,1
16,456,2
16,503,1
16,523,4
16,530,1
16,546,4
16,547,20
16,555,11
18,7,2
18,16,1
18,18,4
18,37,1
18,48,1
18,54,1
18,112,1
18,134,2
18,139,1
18,258,1
18,272,1
18,281,3
18,399,1
18,471,1
18,489,2
18,515,1
18,523,1
18,546,2
18,555,4
19,2,5
19,4,3
19,21,3
19,34,2
19,46,13
19,58,2
19,60,1
19,79,1
19,83,3
19,105,1
19,126,7
19,185,1
19,196,1
19,220,1
19,221,8
19,241,1
19,264,19
19,273,1
19,279,2
19,310,7
19,317,4
19,331,1
19,363,1
19,385,8
19,388,1
19,451,1
19,548,2
19,553,24
20,9,1
20,22,6
20,34,1
20,66,1
20,130,4
20,158,9
20,178,1
20,194,2
20,220,1
20,222,2
20,227,18
20,263,6
20,269,1
20,287,1
20,295,2
20,297,3
20,308,1
20,311,1
20,374,1
20,395,4
20,425,13
20,438,4
20,456,1
20,462,1
20,465,1
20,476,1
20,545,1
20,548,1
20,551,26
20,557,7
21,19,1
21,126,1
21,196,1
21,241,3
21,362,3
21,451,1
21,548,2
21,553,68
22,97,2
22,131,2
22,152,1
22,158,1
22,203,5
22,227,1
22,263,3
22,297,3
22,395,1
22,425,2
22,505,1
22,506,1
22,543,2
22,545,16
22,551,87
22,557,2
23,62,3
23,87,1
23,107,2
23,112,1
23,170,1
23,197,1
23,228,1
23,233,1
23,237,3
23,251,8
23,276,23
23,284,2
23,336,2
23,406,2
23,409,1
23,453,1
23,463,9
23,476,1
23,478,1
23,481,2
23,485,3
23,493,1
23,500,1
23,503,11
23,527,2
23,554,3
23,556,25
24,425,1
24,550,6
25,55,1
25,78,1
25,121,1
25,127,4
25,152,3
25,212,1
25,252,1
25,343,1
25,397,1
25,436,1
25,549,1
25,552,12
26,152,1
26,177,1
26,220,1
26,225,1
26,256,1
26,267,1
26,307,1
26,343,1
26,361,1
26,372,2
26,411,6
26,436,1
26,552,15
27,62,2
27,276,2
27,443,2
27,554,1
27,556,3
28,5,4
28,23,1
28,27,1
28,37,1
28,42,1
28,62,24
28,82,27
28,87,6
28,99,3
28,107,3
28,112,2
28,157,1
28,164,1
28,169,3
28,170,1
28,180,3
28,183,2
28,189,1
28,197,9
28,228,6
28,233,10
28,237,1
28,251,11
28,258,10
28,266,5
28,276,22
28,284,8
28,296,1
28,330,3
28,336,2
28,353,1
