label,party,id
Achim Kessler,The Left,214
Achim Post,SPD,374
AfD,AfD,544
AfD Bundestag,AfD,550
Agnieszka Brugger,Greens,55
Alexander Graf Lambsdorff,FDP,258
Alexander Hoffmann,CSU,181
Alexander Kulitz,FDP,255
Alexander Müller,FDP,319
Alexander Neu,The Left,335
Alexander Throm,CDU,489
Alice Weidel,AfD,519
Alois Rainer,CSU,380
Amira Mohamed Ali,The Left,309
Andreas Bleck,AfD,40
Andreas Lenz,CSU,272
Andreas Mrosek,AfD,318
Andreas Nick,CDU,337
Andreas Rimkus,SPD,389
Andreas Scheuer,CSU,413
Andreas Schwarz,SPD,440
Andreas Steier,CDU,468
Andreas Wagner (politician),The Left,512
Andrej Hunko,The Left,191
Andrew Ullmann,FDP,499
Angelika Glöckner,SPD,125
Anja Hajduk,The Left,144
Anja Karliczek,CDU,208
Anja Weisgerber,CSU,523
Anke Domscheit-Berg,The Left,83
Anna Christmann,Greens,68
Annalena Baerbock,Greens,14
Annette Widmann-Mauz,CDU,531
Antje Tillmann,CDU,491
Armin Schuster,CDU,437
Axel Fischer,CDU,106
Axel Gehrke,AfD,122
Axel Knoerig,CDU,229
Aydan Özoğuz,SPD,355
Bärbel Bas,SPD,22
Bärbel Kofler,SPD,232
Beate Müller-Gemmeke,Greens,329
Beatrix von Storch,AfD,474
Bela Bach,SPD,12
Benjamin Strasser,FDP,478
Berengar Elsner von Gronow,AfD,92
Bernd Reuther,FDP,386
Bernd Riexinger,The Left,388
Bernd Westphal,SPD,528
Bettina Hoffmann,Greens,182
Bettina Müller,SPD,320
Bettina Stark-Watzinger,FDP,463
Bijan Djir-Sarai,FDP,82
Birke Bull-Bischoff,The Left,60
Björn Simon,CDU,449
Britta Dassler,FDP,76
Britta Haßelmann,Greens,152
Canan Bayram,Greens,26
Cansel Kiziltepe,SPD,222
Caren Lay,The Left,264
Carina Konrad,FDP,237
Carl-Julius Cronenberg,FDP,72
Carsten Müller,CDU,321
Carsten Schneider,SPD,425
Carsten Träger,SPD,495
CDU,CDU,546
CDU CSU Bundestag,CDU,555
Cem Özdemir,Greens,353
Charlotte Schneidewind-Hartnagel,Greens,427
Christian Dürr,FDP,87
Christian Hirte,CDU,176
Christian Jung,FDP,199
Christian Kühn,Greens,252
Christian Lange,SPD,260
Christian Lindner,FDP,276
Christian Petry,SPD,365
Christian Sauter,FDP,407
Christian Wirth,AfD,537
Christine Aschenberg-Dugnus,FDP,10
Christine Buchholz,The Left,58
Christoph Bernstiel,CDU,33
Christoph de Vries,CDU,508
Christoph Hoffmann,FDP,183
Christoph Matschie,SPD,298
Christoph Meyer,FDP,304
Christoph Ploß,CDU,369
Claudia Moll,SPD,312
Claudia Müller,Greens,322
Claudia Schmidtke,CDU,424
Corinna Miazga,AfD,305
Corinna Rüffer,Greens,400
Cornelia Möhring,The Left,310
CSU,CSU,547
Dagmar Freitag,SPD,111
Dagmar Schmidt,SPD,422
Daniel Föst,FDP,107
Daniela Kluckert,FDP,228
Daniela Kolbe,SPD,234
Daniela Ludwig,CSU,282
Daniela Wagner,Greens,513
Dennis Rohde,SPD,391
Detlef Müller,SPD,323
Die Gruenen,Greens,549
Die Gruenen Bundestag,Greens,552
Die Linke,The Left,548
Die Linke Bundestag,The Left,553
Dieter Janecek,Greens,194
Diether Dehm,The Left,77
Dietmar Bartsch,The Left,21
Dirk Spaniel,AfD,457
Dirk Wiese,SPD,533
Doris Achelwilm,The Left,2
Dorothee Bär,CSU,16
Dorothee Martin,SPD,295
Edgar Franke,SPD,108
