id,label,party
1,Martin Neumann,FDP
10,Agnieszka Brugger,Greens
100,Daniela Wagner,Greens
101,Dennis Rohde,SPD
103,Andreas Lenz,CSU
104,Daniel Föst,FDP
106,Die Gruenen,Greens
107,Die Linke,The Left
108,Dagmar Schmidt,SPD
109,Diether Dehm,The Left
11,Gökay Akbulut,The Left
110,Dietmar Bartsch,The Left
112,Dirk Spaniel,AfD
113,Dirk Wiese,SPD
114,Sabine Dittmar,SPD
115,Dieter Janecek,Greens
116,Bijan Djir-Sarai,FDP
117,Doris Achelwilm,The Left
118,Dorothee Martin,SPD
119,Dorothee Bär,CSU
12,Alexander Kulitz,FDP
120,Rainer Kraft,AfD
121,Roy Kühne,CDU
123,Andreas Nick,CDU
124,Bruno Hollnagel,AfD
125,Joe Weingarten,SPD
127,Michael Espendiller,AfD
129,Harald Ebner,Greens
13,Alexander Throm,CDU
130,Ernst Dieter Rossmann,SPD
131,Ekin Deligöz,Greens
132,Elisabeth Motschmann,CDU
134,Berengar Elsner von Gronow,AfD
135,Enrico Komning,AfD
136,Erhard Grundl,Greens
137,Klaus Ernst,The Left
138,Erwin Rüddel,CDU
139,Saskia Esken,SPD
141,Michael Theurer,FDP
142,Frank Schäffler,FDP
143,Fabio De Masi,The Left
144,Yasmin Fahimi,SPD
145,Falko Mohrs,SPD
146,Franziska Brantner,Greens
147,FDP,FDP
148,Katja Hessel,FDP
149,FDP Bundestag,FDP
15,Alexander Neu,The Left
151,Felix Schreiner,CDU
153,Filiz Polat,Greens
154,Florian Oßner,CSU
155,Florian Toncar,FDP
156,Florian Post,SPD
157,Florian Pronold,SPD
158,Frank Magnitz,AfD
159,Frank Pasemann,AfD
160,Edgar Franke,SPD
162,Frank Schwabe,SPD
163,Frank Sitta,FDP
164,Frank Steffel,CDU
166,Fritz Felgentreu,SPD
167,Markus Frohnmaier,AfD
168,Friedrich Straetmanns,The Left
169,Gerald Ullrich,FDP
17,Alexander Müller,FDP
170,Gabriele Katzmarek,SPD
172,Gabriela Heinrich,SPD
174,Gero Storjohann,CDU
175,Gerold Otten,AfD
176,Gitta Connemann,CDU
