label,id,party
Otto Fricke,112,FDP
FDP Bundestag,556,FDP
Carina Konrad,237,FDP
Gerald Ullrich,500,FDP
Sandra Weeser,517,FDP
Olaf in der Beek,28,FDP
Hagen Reinhold,383,FDP
Marie-Agnes Strack-Zimmermann,476,FDP
Wieland Schinnenburg,418,FDP
Reinhard Houben,189,FDP
Nicole Bauer,23,FDP
Andreas Lenz,272,CSU
Andrew Ullmann,499,FDP
Daniel Föst,107,FDP
Britta Dassler,76,FDP
Marcus Faber,99,FDP
Mario Mieruch,306,LKR (ex AfD)
Christoph Meyer,304,FDP
Bettina Müller,320,SPD
Martin Rosemann,392,SPD
SPD Bundestag,551,SPD
SPD,545,SPD
Joe Weingarten,522,SPD
Thomas Hitschler,178,SPD
Katja Keul,216,Greens
Konstantin von Notz,343,Greens
Die Gruenen,549,Greens
Maria Klein-Schmeink,225,Greens
Kai Gehring[210],121,Greens
Sven Lehmann,267,Greens
Lisa Paus,361,Greens
Agnieszka Brugger,55,Greens
Katrin Göring-Eckardt,127,Greens
Ingrid Nestle,334,Greens
Dieter Janecek,194,Greens
Johann Wadephul,510,CDU
Erhard Grundl,137,Greens
Britta Haßelmann,152,Greens
Sven-Christian Kindler,220,Greens
Katharina Dröge,86,Greens
Wolfgang Strengmann-Kuhn,479,Greens
Christian Kühn,252,Greens
Kirsten Kappert-Gonther,206,Greens
Kordula Schulz-Asche,436,Greens
Claudia Müller,322,Greens
Oliver Krischer,248,Greens
Stephan Kühn,253,Greens
Daniela Wagner,513,Greens
Manuel Sarrazin,405,Greens
Beate Müller-Gemmeke,329,Greens
Markus Tressel,496,Greens
Die Gruenen Bundestag,552,Greens
Corinna Rüffer,400,Greens
Katja Dörner,84,Greens
Anna Christmann,68,Greens
Franziska Brantner,47,Greens
Renate Künast,256,Greens
Cem Özdemir,353,Greens
Stefan Gelbhaar,123,Greens
Monika Lazar,265,Greens
Julia Verlinden,502,Greens
Annette Widmann-Mauz,531,CDU
Markus Kurth,257,Greens
Matthias Gastel,118,Greens
Andreas Nick,337,CDU
Marcel Emmerich,93,Greens
Marianne Schieder,414,SPD
Uli Grötsch,135,SPD
Dagmar Freitag,111,SPD
Elvan Korkmaz,240,SPD
Sören Bartol,20,SPD
Stefan Schwartze,439,SPD
Ulli Nissen,339,SPD
Lars Klingbeil,227,SPD
Martin Renner,384,AfD
Jörg Schneider,426,AfD
Berengar Elsner von Gronow,92,AfD
Jürgen Braun,49,AfD
Stephan Brandner,45,AfD
Martin Reichardt,382,AfD
Udo Hemmelgarn,166,AfD
René Springer,459,AfD
Götz Frömming,115,AfD
Stephan Protschka,377,AfD
Tino Chrupalla,69,AfD
Kay Gottschalk,129,AfD
AfD,544,AfD
Harald Weyel,529,AfD
Frank Pasemann,358,AfD
Michael Espendiller,98,AfD
Sebastian Münzenmaier,332,AfD
Beatrix von Storch,474,AfD
Jens Kestner,215,AfD
Ulrike Schielke-Ziesing,416,AfD
